2021-03-26 11:50:02,352  INFO | task-1 | com.zaxxer.hikari.HikariDataSource                     | HikariPool-1 - Start completed. 
2021-03-26 11:50:02,380  INFO | task-1 | org.hibernate.dialect.Dialect                          | HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect 
2021-03-26 11:50:04,607  INFO | task-1 | o.h.e.t.jta.platform.internal.JtaPlatformInitiator     | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2021-03-26 11:50:04,616  INFO | task-1 | o.s.orm.jpa.LocalContainerEntityManagerFactoryBean     | Initialized JPA EntityManagerFactory for persistence unit 'default' 
2021-03-26 11:50:04,981  INFO | restartedMain | o.s.d.r.config.DeferredRepositoryInitializationListener | Spring Data repositories initialized! 
2021-03-26 11:50:04,993  INFO | restartedMain | n.sijbers.csia.reservationApp.ReservationAppApplication | Started ReservationAppApplication in 11.871 seconds (JVM running for 12.765) 
2021-03-26 11:50:59,224  INFO | Thread-4 | o.s.orm.jpa.LocalContainerEntityManagerFactoryBean     | Closing JPA EntityManagerFactory for persistence unit 'default' 
2021-03-26 11:50:59,227  INFO | Thread-4 | o.s.scheduling.concurrent.ThreadPoolTaskExecutor       | Shutting down ExecutorService 'applicationTaskExecutor' 
2021-03-26 11:50:59,231  INFO | Thread-4 | com.zaxxer.hikari.HikariDataSource                     | HikariPool-1 - Shutdown initiated... 
2021-03-26 11:50:59,244  INFO | Thread-4 | com.zaxxer.hikari.HikariDataSource                     | HikariPool-1 - Shutdown completed. 
2021-03-26 11:50:59,374  INFO | restartedMain | n.sijbers.csia.reservationApp.ReservationAppApplication | Starting ReservationAppApplication on franks-MacBook-Pro.local with PID 46344 (/Users/frank/Dropbox/dev/tom/reservationappBackend/target/classes started by frank in /Users/frank/Dropbox/dev/tom/reservationappBackend) 
2021-03-26 11:50:59,375  INFO | restartedMain | n.sijbers.csia.reservationApp.ReservationAppApplication | The following profiles are active: dev 
2021-03-26 11:50:59,900  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Bootstrapping Spring Data JPA repositories in DEFERRED mode. 
2021-03-26 11:50:59,918  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 18ms. Found 2 JPA repository interfaces. 
2021-03-26 11:51:00,053  INFO | restartedMain | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@179f64d' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2021-03-26 11:51:00,058  INFO | restartedMain | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2021-03-26 11:51:00,178  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat initialized with port(s): 9090 (http) 
2021-03-26 11:51:00,179  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Initializing ProtocolHandler ["http-nio-9090"] 
2021-03-26 11:51:00,179  INFO | restartedMain | org.apache.catalina.core.StandardService               | Starting service [Tomcat] 
2021-03-26 11:51:00,180  INFO | restartedMain | org.apache.catalina.core.StandardEngine                | Starting Servlet engine: [Apache Tomcat/9.0.37] 
2021-03-26 11:51:00,205  INFO | restartedMain | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring embedded WebApplicationContext 
2021-03-26 11:51:00,206  INFO | restartedMain | o.s.b.w.s.context.ServletWebServerApplicationContext   | Root WebApplicationContext: initialization completed in 825 ms 
2021-03-26 11:51:00,253  WARN | restartedMain | o.s.b.a.o.jpa.JpaBaseConfiguration$JpaWebConfiguration | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2021-03-26 11:51:00,322  INFO | restartedMain | o.s.scheduling.concurrent.ThreadPoolTaskExecutor       | Initializing ExecutorService 'applicationTaskExecutor' 
2021-03-26 11:51:00,331  INFO | task-1 | org.hibernate.jpa.internal.util.LogHelper              | HHH000204: Processing PersistenceUnitInfo [name: default] 
2021-03-26 11:51:00,342  INFO | task-1 | com.zaxxer.hikari.HikariDataSource                     | HikariPool-2 - Starting... 
